
0.0	1.3	0	20	0.6400593634083778
0.0	1.3	100	10000	1.5486774345687593
0.0	1.3	20	30	0.9427529163754221
0.0	1.3	30	50	1.2477150789631435
0.0	1.3	50	80	1.3818235822586344
0.0	1.3	80	100	1.5783808287951087

1.3	2.0	0	20	0.6555149009350738
1.3	2.0	100	10000	1.778977974325823
1.3	2.0	20	30	0.9589942307573392
1.3	2.0	30	50	1.2191454797151755
1.3	2.0	50	80	1.4417107309553545
1.3	2.0	80	100	1.899243245139147

2.0	3	0	20	0.6004400643305021
2.0	3	100	10000	1.3488944663013953
2.0	3	20	30	1.0499436382643565
2.0	3	30	50	1.2137308634240214
2.0	3	50	80	1.3832435209182499
2.0	3	80	100	1.4433726651384056

3	4	0	20	0.6623333571388619
3	4	100	10000	1.3355483108108217
3	4	20	30	1.2545827224211932
3	4	30	50	1.3489623506123212
3	4	50	80	1.4324219467422
3	4	80	100	1.4212096389745743

4.0	10000	0	20	0.6030151740439413
4.0	10000	100	10000	0.9545243591194437
4.0	10000	20	30	0.7435399183378213
4.0	10000	30	50	1.0660049504003735
4.0	10000	50	80	1.2799339029104855
4.0	10000	80	100	1.2984398256267118
