
0.0	1.3	0	20	0.6524195278588543
0.0	1.3	100	10000	1.7309633347929585
0.0	1.3	20	30	0.9559597904651289
0.0	1.3	30	50	1.2519897623562917
0.0	1.3	50	80	1.3969980999179528
0.0	1.3	80	100	1.4958224735186918

1.3	2.0	0	20	0.6656904847655998
1.3	2.0	100	10000	1.7065886340614067
1.3	2.0	20	30	0.977514747802466
1.3	2.0	30	50	1.2243904799373015
1.3	2.0	50	80	1.4344112649326144
1.3	2.0	80	100	1.7300284644349129

2.0	3	0	20	0.6324869033167553
2.0	3	100	10000	1.3523802106923808
2.0	3	20	30	0.9198912073124222
2.0	3	30	50	1.218591251629445
2.0	3	50	80	1.332468478605001
2.0	3	80	100	1.4320085829611404

3	4	0	20	0.6982347908627847
3	4	100	10000	1.3013437601199251
3	4	20	30	0.9351692366101403
3	4	30	50	1.3605520100094652
3	4	50	80	1.4731084154258132
3	4	80	100	1.4128147589815019

4.0	10000	0	20	1
4.0	10000	100	10000	1.528419935434425
4.0	10000	20	30	0.7689499903324611
4.0	10000	30	50	1.0846021461850834
4.0	10000	50	80	1.3302153519575466
4.0	10000	80	100	1.2603935307857494
